# Bengali Bi-gram Next-Word Dataset (Antecedent -> Predicted Next Words)
অ	রিলেশনাল,বিভাগীয়,বিষাক্ত,চৌম্বকীয়,আ
অজুহাতে	অনীহা,মাসের,রেহাই
অজেয়	প্রকৃতির,নহে
অজৈব	যৌগগুলি,যৌগের,যৌগ,যৌগগুলিতে,যৌগগুলির
অজৈবিক	অবস্থাগুলিতে
অজ্ঞতা	পূজারী,রয়ে
অজ্ঞাত	ছিল,থাকতে,সিদ্ধান্ত,থেকেই,ও
অজ্ঞাতপরিচয়	নিশ্চিতা,শিশু
অজ্ঞাতপরিচয়ে	ইন্টারনেট,ডার্কনেটে
অজ্ঞাতভাবে	অপরাধ,তথ্য
অজ্ঞান	হয়ে,ছিল,বলে,বা,করে
অঞ্চল	থেকে,এবং,বা,জুড়ে,ও
অঞ্চলই	শক্তিশালী,পার্লামেন্টারিয়ানদের
অঞ্চলও	তৈরি,বিশ্ব,যেকোনো
অঞ্চলকে	সংজ্ঞায়িত,সংযুক্ত,আক্রান্ত,বোঝাতে,যুক্ত
অঞ্চলগুলি	সাধারণত,সনাক্ত,অন্বেষণ,অর্জন,প্রসারিত
অঞ্চলগুলিকে	অন্তর্ভুক্ত,পুনঃউন্নয়ন,প্লাবিত,প্রভাবের,বোঝায়
অঞ্চলগুলিতে	অ্যাক্সেসের,পাইথন,ফ্রিকোয়েন্সি,শিক্ষার্থীদের,তাদের
অঞ্চলগুলির	মধ্যে,উপর,জন্য,সাথেও,আবহাওয়ার
অঞ্চলগুলো	মধ্য,তখন,হারাতে,রয়েছে,তিনি
অঞ্চলগুলোতে	অব্যাহত,সব,স্থানান্তরিত
অঞ্চলগুলোর	কালপঞ্জি,মাঝে,সাথে
অঞ্চলটি	উল্সথর্প,হল,যে,খুঁজে,এখন
অঞ্চলটিকে	আরও,পরিবর্তন,সাধারণত,বলা,বোঝানো
অঞ্চলটির	নিয়ন্ত্রণ,উপরে
অঞ্চলভেদে	পরিবর্তিত,ভারতে
অঞ্চলসমূহ	ভূমধ্যসাগরের,গঠিত
অঞ্চলে	বসবাসকারী,অবস্থিত,বসবাস,একটি,পাওয়া
অঞ্চলেই	ড্রাগন,গড়ে,এবং,সাধারণ,এই
অঞ্চলেও	কনসার্ট,হানা
অঞ্চলের	মধ্যে,একটি,জন্য,উপর,সাথে
অটল	সংকল্প,ছিলেন,বিহারী,আনুগত্যের,প্রতিশ্রুতি
অটলভাবে	কাজ,অনুগামী,চালাইয়া
অটিজম	হল,স্পেকট্রাম,আক্রান্ত,স্পেকট্রামের,সৃষ্টি
অটিজমে	আক্রান্ত
অটিজমের	বিকাশে,সাথে,ব্যাখ্যা,কারণ,কারণগুলির
অটুট	বন্ধন,বন্ধনের,শক্তির,আকার,কারণ
অটো	শিল্প,ফন,হান,শ,এবং
অটোইমিউন	রোগের,ডিসঅর্ডারগুলির,রোগ
অটোএনকোডার	এবং,পদ্ধতি
অটোকার	কম্পানি,এর,সালে,কোবরা
অটোপাইলট	এবং,টেসলা,গাড়ি,সেবা
অটোমান	সাম্রাজ্য,সাম্রাজ্যের,তুর্কিদের,সুলতান
অটোমেকার	পাবলিক,যা
অটোমেটিক	মেশিন,ভাবে,টেলিস্কোপ,টেলার,লুম
অটোমেটেড	মেশিন,টেলার,সিস্টেমে,হাউজ
অটোমেশন	এবং,সিস্টেম,সিস্টেমের,দ্বারা,টুলের
অটোমেশনে	মেশিন,একটি,সিদ্ধান্ত,ব্যবহারের,গুরুত্বপূর্ণ
অটোমেশনের	জন্য,মাধ্যমে,মতো,একটি,ব্যবহার
অটোমোটিভ	একটি,প্রতিষ্ঠা,নেভিগেশন,ওয়ারশ
অটোমোবাইল	এবং,থেকে,তৈরি,ইন্ডাস্ট্রিয়াল,ট্র্যাফিক
অটোমোবাইলগুলি	উল্লেখযোগ্য,সাধারণত,দূষণকারী,এই
অটোমোবাইলগুলির	সাথে,জড়িত
অটোমোবাইলস	লিমিটেড
অটোমোবাইলে	বৈদ্যুতিক,অত্যাধুনিক
অটোমোবাইলের	বিবর্তন,যুগের,উৎপাদন,ভবিষ্যত,তুলনায়
অটোরিগ্রেসিভ	মডেল,ল্যাঙ্গুয়েজ
অটোসেকেন্ড	ড্রাইভার,গতিবিদ্যা,উপর,ফিজিক্স,পদার্থবিজ্ঞান
অটোস্পোর্ট	আন্তর্জাতিক,ইন্টারন্যাশনালে
অট্টহাস্য	করা
অট্টালিকা	থেকে,দিয়ে,ছাড়া
অট্টালিকাগুলির	মধ্যে,পাশ
অট্টালিকার	সামনের,আকৃতিরও,স্তম্ভরূপে,সদর,অভ্যন্তরস্থ
অডি	ও,ভিত্তিক
অডিও	এবং,বা,ফাইল,ট্র্যাক,ব্যবস্থা
অডিওবুক	পোর্টাল,বা,শুনুন,অন্তর্ভুক্ত,এবং
অডিট	পরিচালনা,এবং,করা,ট্রেল,কোম্পানিকে
অডিশন	রুমে,চালিয়ে
অডিয়েন্স	নির্ধারণ,ডিফাইন,নিয়ে,সহ,বুঝুন
অডিয়েন্সকে	সংজ্ঞায়িত
অডিয়েন্সের	জনসংখ্যা,আচরণ
অড্রে	এবং,লর্ড
অণু	যা,তৈরি,থেকে,দ্বারা,রয়েছে
অণুকে	সংশ্লেষিত,ছেড়ে,অমেধ্য
অণুগুলি	বিভিন্ন,ধীর,তারপরে,মাইটোকন্ড্রিয়নের,বিভক্ত
অণুগুলিকে	ভেঙে,অক্সিজেনে,অন্য,হাইড্রোজেন,আলাদা
অণুগুলির	মধ্যে,বিভিন্ন,এই,একটি,আকৃতি
অণুগুলো	আরো,মুক্তভাবে,স্বল্প
অণুগুলোর	মধ্যে,পর্যাপ্ত,দূরত্ব,আকারের
অণুজীব	জন্ম,এবং,তৈরি,সহ,নিয়ে
অণুজীবগুলি	শর্করা,দ্রুত
অণুজীবের	বৃদ্ধির,বিরুদ্ধে,উন্নতির,মধ্যে,কার্যকলাপকে
অণুটি	ডিঅক্সিরিবোজ,একটি
অণুতরঙ্গ	চুল্লী,পটভূমিক,বিকিরণ
অণুতে	একটি,ভেঙে,সঞ্চিত,স্থানান্তরিত,নিউক্লিওটাইড
অণুপ্রক্রিয়াকারক	বা
অণুপ্রক্রিয়াজাতকারক	উদ্ভাবন,বা
অণুপ্রাণিত	বলে,হয়েছে
অণুবীক্ষণ	যন্ত্র,যন্ত্রগুলোর
অণুবীক্ষণযন্ত্রের	মতো,আইপিসকে
অণুমতি	না,পায়
অণুর	মধ্যে,সাথে,গঠন,কার্যকরী,হাইড্রোজেন
অণুলিপি	থাকে,রেজিস্টান্ট
অণুসমূহের	আকৃতির,দিক
অণ্ডস্ফুটন	যন্ত্র
অতঃপর	নভেম্বর,ডাই,তিনি,সালে,প্রাইম
অতপর	সালের,তখনকার
অতর্কিত	আক্রমণার্থ,আক্রমণ
অতর্কিতে	আক্রমণ,নদীয়া
অতল	সমভূমি,গহ্বরে,গহ্বরের,গহ্বর
অতাপীয়	রূপান্তরকগুলো,রূপান্তর
অতি	ক্ষুদ্র,সূক্ষ্ম,প্রাচীন,দ্রুত,গুরুত্বপূর্ণ
অতিক্রম	করে,করতে,করা,করার,করেছে
অতিক্রমকারী	সকলের,প্রথম,রৈখিক,জনসংখ্যার
অতিক্রমের	কাজে,সময়
অতিক্রান্ত	হত্তয়া,ছেলে
অতিক্ষুদ্র	তরঙ্গ,দূষক,ইলেকট্রনীয়,পরিগণকযন্ত্র,নিয়ন্ত্রক
অতিথি	এবং,পোস্ট,তালিকা,বক্তৃতা,বক্তা
অতিথিকে	পরিবেশন,পাঠান৷,চমকে,স্বাগত,রেসিপিটি
অতিথিদের	জন্য,মধ্যে,তাদের,সাথে,একজন
অতিথির	জন্য,আগমনের,আগমন,অবস্থানে,সাথে
অতিথিরা	তাদের,আড্ডা,হতাশ,কোন,একসাথে
অতিদ্রুত	বাজার,চিকিৎসাক্ষেত্রে
অতিনবতারা	আবিষ্কৃত,বিস্ফোরণ,আবিষ্কার,বিস্ফোরণের,খুঁজে
অতিনবতারাটির	বিস্ফোরণ,নামসহ,নাম
অতিনবতারার	বিস্ফোরণে,সর্বোচ্চ,উচ্চ,আলোক,পদার্থবিজ্ঞান
অতিনাটকীয়	হয়ে,আচরণ
অতিপরিবাহী	ব্যবহার
অতিপারমাণবিক	কণাসমূহের,কণা,গঠন,কণাগুলির,কণার
অতিপ্রাকৃত	প্রাণী,উপাদানগুলিকে,ক্ষমতা,বিষয়,উপাদানগুলির
অতিপ্রাকৃতিক	ঘটনার,ভিনগ্রহী
অতিবর্তী	ঈশ্বরবাদে,ঈশ্বরবাদের,ঈশ্বরবাদ
অতিবাহিত	হওয়ার,করার,করেছিলেন,হয়,করেন
অতিবৃদ্ধ	পথ,ঝোপ,শাখাগুলি,গাছপালা
অতিবেগুনি	রশ্মি,রশ্মির,আলো
অতিবেগুনী	রশ্মি,বিকিরণ,রশ্মিকে,আলো,বিকিরণের
অতিব্যবহৃত	বলে,অ্যালগোরিদমগুলোর
অতিভারী	কৃষ্ণগহ্বরের,বিমানগুলিকে
অতিভোজন	করান,করা
অতিভোজী	ব্যক্তি,প্রাণী
অতিমন্দা	হত্তয়া
অতিমাত্রার	তাপে,ভর,তাপীয়
অতিমাত্রায়	প্রকট,তপ্ত,গরম,দাহ্য,গুলিবারুদ
